Data;Comercial_GWh;Residencial_GWh;Industrial_GWh;Outros_GWh;Brasil_GWh
jul/08;4.791;7.654;15.154;4.552;32.15
ago/08;4.984;7.881;15.412;4.737;33.014
set/08;5.104;7.816;15.18;4.864;32.964
out/08;5.261;8.12;15.386;4.907;33.674
nov/08;5.501;8.238;14.773;4.898;33.41
dez/08;5.386;7.943;13.417;4.813;31.559
jan/09;5.368;8.605;11.924;4.77;30.667
fev/09;5.443;8.149;12.337;4.566;30.495
mar/09;5.698;8.49;13.049;4.74;31.978
abr/09;5.686;8.472;13.2;4.686;32.043
mai/09;5.248;8.188;12.976;4.533;30.945
jun/09;5.031;7.909;13.217;4.558;30.715
jul/09;4.997;8.105;13.611;4.612;31.325
ago/09;5.129;8.403;14.061;4.669;32.262
set/09;5.304;8.417;14.227;4.769;32.717
out/09;5.493;8.526;14.552;4.849;33.42
nov/09;5.764;8.636;14.415;4.802;33.617
dez/09;6.095;8.877;14.229;4.923;34.123
jan/10;5.851;9.235;13.425;4.851;33.362
fev/10;5.885;8.912;14.078;4.856;33.731
mar/10;6.162;9.153;14.766;5.037;35.118
abr/10;6.01;9.15;14.921;4.946;35.027
mai/10;5.658;8.709;15.025;4.906;34.298
jun/10;5.42;8.676;15.18;4.895;34.171
jul/10;5.224;8.448;15.303;4.876;33.851
ago/10;5.451;8.812;15.456;4.995;34.715
set/10;5.658;8.904;15.405;5.216;35.184
out/10;5.713;8.951;15.434;5.092;35.19
nov/10;5.833;8.963;15.317;4.967;35.079
dez/10;6.305;9.302;15.169;5.182;35.958
jan/11;6.25;9.81;14.467;5.348;35.875
fev/11;6.331;9.405;14.487;5.223;35.446
mar/11;6.373;9.508;15.188;5.283;36.352
abr/11;6.298;9.237;15.335;5.181;36.05
mai/11;6.002;9.138;15.255;5.173;35.567
jun/11;5.719;8.868;15.387;5.188;35.161
jul/11;5.654;9.128;15.436;5.2;35.419
ago/11;5.879;9.201;15.853;5.404;36.337
set/11;6.113;9.524;15.731;5.598;36.967
out/11;6.156;9.365;15.671;5.553;36.745
nov/11;6.208;9.303;15.484;5.375;36.37
dez/11;6.498;9.483;15.282;5.48;36.744
jan/12;6.466;9.8;14.567;5.472;36.305
fev/12;6.608;9.705;15.059;5.528;36.901
mar/12;7.037;10.271;15.579;5.737;38.623
abr/12;6.856;9.928;15.53;5.682;37.996
mai/12;6.417;9.532;15.264;5.597;36.81
jun/12;6.282;9.605;15.159;5.483;36.528
jul/12;6.033;9.274;15.214;5.396;35.917
ago/12;6.303;9.622;15.628;5.627;37.18
set/12;6.502;9.749;15.573;5.838;37.662
out/12;6.592;9.788;15.548;5.869;37.796
nov/12;7.051;10.239;15.47;5.883;38.644
dez/12;7.08;10.133;14.834;5.718;37.765
jan/13;7.202;10.925;14.37;5.87;38.367
fev/13;7.035;10.475;14.79;5.705;38.006
mar/13;7.147;10.357;15.148;5.791;38.442
abr/13;7.051;10.302;15.592;5.709;38.654
mai/13;6.833;10.242;15.569;5.701;38.345
jun/13;6.595;10.092;15.326;5.615;37.628
jul/13;6.454;10.022;15.49;5.731;37.698
ago/13;6.601;10.28;15.886;5.845;38.613
set/13;6.76;10.251;15.594;5.92;38.525
out/13;7.071;10.545;15.787;5.986;39.389
nov/13;7.382;10.711;15.81;6.017;39.92
dez/13;7.572;10.706;15.321;5.957;39.556
jan/14;7.745;11.798;14.537;6.2;40.28
fev/14;8.204;11.879;15.107;6.463;41.653
mar/14;7.744;11.289;15.079;6.157;40.269
abr/14;7.588;10.78;15.26;5.964;39.592
mai/14;7.304;10.877;14.943;5.977;39.1
jun/14;6.862;10.322;14.683;5.859;37.726
jul/14;6.773;10.657;14.554;5.884;37.867
ago/14;6.989;10.44;15.134;5.986;38.551
set/14;7.186;10.576;14.975;6.158;38.895
out/14;7.615;11.141;14.929;6.415;40.1
nov/14;7.974;11.382;15.256;6.338;40.95
dez/14;7.856;11.161;14.648;6.174;39.838
jan/15;8.076;12.558;13.642;6.341;40.618
fev/15;8.09;11.78;14.335;6.378;40.583
mar/15;7.908;11.098;14.44;6.13;39.576
abr/15;7.907;10.89;14.494;6.124;39.414
mai/15;7.364;10.542;14.194;5.928;38.027
jun/15;7.073;10.113;14.046;5.876;37.107
jul/15;6.839;10.111;13.817;5.895;36.662
ago/15;7.077;10.313;14.144;6.155;37.69
set/15;7.161;10.437;13.865;6.215;37.678
out/15;7.631;11.133;13.986;6.378;39.129
nov/15;7.791;11.132;13.749;6.415;39.087
dez/15;7.852;11.084;13.252;6.327;38.514
jan/16;7.761;11.83;12.491;6.174;38.256
fev/16;7.714;11.352;13.327;6.139;38.532
mar/16;7.798;11.316;13.736;6.375;39.225
abr/16;8.046;11.782;13.809;6.435;40.074
mai/16;7.379;10.932;13.779;6.379;38.469
jun/16;6.848;10.614;13.716;6.196;37.374
jul/16;6.686;10.381;13.922;6.097;37.086
ago/16;6.75;10.428;14.09;6.272;37.539
set/16;6.998;10.89;13.954;6.389;38.232
out/16;7.031;10.856;13.81;6.361;38.058
nov/16;7.335;11.134;13.786;6.354;38.609
dez/16;7.526;11.357;13.387;6.354;38.624
jan/17;7.775;11.881;13.017;6.465;39.138
fev/17;7.67;11.33;13.211;6.23;38.44
mar/17;7.956;12.107;13.779;6.399;40.241
abr/17;7.684;11.11;13.919;6.357;39.07
mai/17;7.195;10.912;13.502;6.304;37.912
jun/17;6.937;10.753;13.815;6.239;37.745
jul/17;6.653;10.389;13.953;6.09;37.084
ago/17;6.712;10.435;14.172;6.296;37.616
set/17;7.118;11.066;14.135;6.422;38.741
